id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_urlhttps://www.youtube.com/watch?v=Kd2im9OcxAs,unk
Kd2im9OcxAs,Pedestrian crossing in New York. #pedestrian #crossing #trafficlight #zebracrossing,New York,Kd2im9OcxAs,nown,0:00,0:00:06,US,Davi Costa,https://www.youtube.com/channel/UCmdyb9rsBgwVGUUiQgJI2Aw
5v2c2O_jVK8,Crossing the Streets of New York City ðŸ—½âœ¨ #NYC #shorts,New York,5v2c2O_jVK8,https://www.youtube.com/watch?v=5v2c2O_jVK8,unknown,0:00,0:00:12,US,NYC by walking ,https://www.youtube.com/channel/UCG7r4FeyuQ0ZU7sXBTZ-5jg
57w2gYXjRic,"EarthCam Live:  Abbey Road Crossing (London, England)",London,57w2gYXjRic,https://www.youtube.com/watch?v=57w2gYXjRic,unknown,0:00,0:00:00,GB,EarthCam,https://www.youtube.com/channel/UC6qrG3W8SMK0jior2olka3g
tYpdBs5fxqU,Abbey Road The Beatles&#39;s Crosswalk,London,tYpdBs5fxqU,https://www.youtube.com/watch?v=tYpdBs5fxqU,unknown,0:00,0:00:11,GB,Stinglikebee,https://www.youtube.com/channel/UCbbWJoJynErbS8oSLcPMhUg
GuYrT1OGJyc,Girl Walks Through Tokyo&#39;s Famous Shibuya Crossing In Japan,Tokyo,GuYrT1OGJyc,https://www.youtube.com/watch?v=GuYrT1OGJyc,unknown,0:00,0:00:23,JP,Top Trends,https://www.youtube.com/channel/UC51I0xm0a81Y65XXAQwmw1w
0hc2o5oleOI,The 3-Second Photo Challenge at Shibuya Crossing ðŸ˜®,Tokyo,0hc2o5oleOI,https://www.youtube.com/watch?v=0hc2o5oleOI,unknown,0:00,0:00:14,JP,WorldBeAmazed,https://www.youtube.com/channel/UCt1graZqToRuMjrLLOWBk0A
GEkF7m0iBxQ,Tourists in Paris often ignore crosswalks and step into heavy traffic ðŸ¤¯ | Part 113,Paris,GEkF7m0iBxQ,https://www.youtube.com/watch?v=GEkF7m0iBxQ,unknown,0:00,0:00:15,FR,autoitouch,https://www.youtube.com/channel/UCtlZoa6-FznkfO-1rLPeIfg
Kz_H6ORwXjc,Tourists in Paris often ignore crosswalks and step into heavy traffic ðŸ¤¯ | Part 112,Paris,Kz_H6ORwXjc,https://www.youtube.com/watch?v=Kz_H6ORwXjc,unknown,0:00,0:00:18,FR,autoitouch,https://www.youtube.com/channel/UCtlZoa6-FznkfO-1rLPeIfg
8yvvgVvK7S8,Master Germany&#39;s Street Crossing Rules!,Berlin,8yvvgVvK7S8,https://www.youtube.com/watch?v=8yvvgVvK7S8,unknown,0:00,0:00:43,DE,NewrootsGermany,https://www.youtube.com/channel/UCvB2MFQSQQL9OVLcHCRkUNA
5P9bPQuT37g,Why Berlin&#39;s Street Lights Are So Weird,Berlin,5P9bPQuT37g,https://www.youtube.com/watch?v=5P9bPQuT37g,unknown,0:00,0:00:43,DE,Jonathan Cwyk,https://www.youtube.com/channel/UC3msRJOqN43hG3uC6j8WQog
V6jYzC3bHU0,How to Cross the Road in VietnamðŸš¶ (@two_peas_abroad),Mumbai,V6jYzC3bHU0,https://www.youtube.com/watch?v=V6jYzC3bHU0,unknown,0:00,0:00:18,IN,FitFix ,https://www.youtube.com/channel/UC3NJVkGUkPwvWwWpQG-67Ag
mzTNdFUcCr8,"Crossing the streets in Mumbai, India. Just send it #india #mumbai #tuktuk",Mumbai,mzTNdFUcCr8,https://www.youtube.com/watch?v=mzTNdFUcCr8,unknown,0:00,0:00:19,IN,Trozzi Fishing ,https://www.youtube.com/channel/UCXDiJYITVvQWGgdR5vKgXcg
bHZnHP82KJs,Trying to Cross the Street in SÃ£o Paulo vs NYC â€” A Culture Shock You Didnâ€™t Expect #funnyshorts,SÃ£o Paulo,bHZnHP82KJs,https://www.youtube.com/watch?v=bHZnHP82KJs,unknown,0:00,0:01:25,BR,Almost True,https://www.youtube.com/channel/UCcXgV3dInEXGa4ORwp9PWtA
-c6NZDqBTs4,Trying to Cross the Street in SÃ£o Paulo vs NYC â€” A Culture Shock You Didnâ€™t Expect #funnyshorts,SÃ£o Paulo,-c6NZDqBTs4,https://www.youtube.com/watch?v=-c6NZDqBTs4,unknown,0:00,0:03:31,BR,Almost True,https://www.youtube.com/channel/UCcXgV3dInEXGa4ORwp9PWtA
NWALMKo1i0A,Gringa canâ€™t figure out how to cross the street in Mexico City. #travel #humour,Mexico City,NWALMKo1i0A,https://www.youtube.com/watch?v=NWALMKo1i0A,unknown,0:00,0:00:51,MX,She Saves - He Invests - They Travel,https://www.youtube.com/channel/UCPQgtluZ6xHR7Cm9hWVJpZQ
n2d9HFzl3tY,El cruce peatonal mÃ¡s transitado de AmÃ©rica estÃ¡ en MÃ©xico #mexico #sabiasque #viajes #turismo #cdmx,Mexico City,n2d9HFzl3tY,https://www.youtube.com/watch?v=n2d9HFzl3tY,unknown,0:00,0:00:44,MX,Juacobartolo,https://www.youtube.com/channel/UColj1zYbZL4sYdILQ7brDUg
H_GsRc5PYZM,#egypt #travel #traffic how to cross the street in Egypt,Cairo,H_GsRc5PYZM,https://www.youtube.com/watch?v=H_GsRc5PYZM,unknown,0:00,0:00:20,EG,Jose Ole ,https://www.youtube.com/channel/UCQHwyo3Jy50dmYkJourwupQ
v0lG16yRUH8,A walk to Tahrir Square in Cairo Egypt. Crazy Cairo traffic !,Cairo,v0lG16yRUH8,https://www.youtube.com/watch?v=v0lG16yRUH8,unknown,0:00,0:10:11,EG,Ray Holden Gains Health Fitness Wealth Travel,https://www.youtube.com/channel/UCXJOODBepLKnlOeerNXNBGA
Kpk-u_swx30,Lagos State Advocates Adherence To Road Signage,Lagos,Kpk-u_swx30,https://www.youtube.com/watch?v=Kpk-u_swx30,unknown,0:00,0:12:06,NG,Channels Television,https://www.youtube.com/channel/UCEXGDNclvmg6RW0vipJYsTQ
1fViDrjlY9k,Concerns Over Lagos Pedestrian Bridges,Lagos,1fViDrjlY9k,https://www.youtube.com/watch?v=1fViDrjlY9k,unknown,0:00,0:04:48,NG,News Central TV,https://www.youtube.com/channel/UCPLKy4Ypb4mfblbjJI8Aljw
lBz7rIV7vjo,Pedestrian killed crossing busy Tranmere road | 7NEWS,Sydney,lBz7rIV7vjo,https://www.youtube.com/watch?v=lBz7rIV7vjo,unknown,0:00,0:01:52,AU,7NEWS Australia,https://www.youtube.com/channel/UC5T7D-Dh1eDGtsAFCuwv_Sw
Ct8AsjEGWjs,Pedestrian Safety &amp; South Road Works at Sydney Markets,Sydney,Ct8AsjEGWjs,https://www.youtube.com/watch?v=Ct8AsjEGWjs,unknown,0:00,0:03:21,AU,Sydney Markets,https://www.youtube.com/channel/UCJgch-D-tJdYxnP-tzty3Sw
-TJoDuMDrBk,Even Canadian geese use the crosswalk â€“ traffic lights optional! ðŸª¿ðŸš¦#canadagoose #traffic,Toronto,-TJoDuMDrBk,https://www.youtube.com/watch?v=-TJoDuMDrBk,unknown,0:00,0:00:18,CA,Magyar KÃ©pek - Kanadai Magyar TV ,https://www.youtube.com/channel/UCmyRdAnDh9UAS8GTujdM-4A
WPPBQntA2KQ,Crossing mutual street|Toronto|#like|#comment |#subscribe,Toronto,WPPBQntA2KQ,https://www.youtube.com/watch?v=WPPBQntA2KQ,unknown,0:00,0:00:08,CA,Explore Canada Adventures ,https://www.youtube.com/channel/UCvNeQYRTfRJP55Awrug-3cQ
G49lOIpA7y8,"Yandex Rovers line up at roadside to cross pedestrian crossing in Moscow, Russia",Moscow,G49lOIpA7y8,https://www.youtube.com/watch?v=G49lOIpA7y8,unknown,0:00,0:00:07,RU,ViralBear,https://www.youtube.com/channel/UCoVCE-9Lqkwv0mq9iwtStqw
j7NVOIMoqjo,"Reckless Lada Granta driver nearly hits woman at crosswalk in Moscow, Russia",Moscow,j7NVOIMoqjo,https://www.youtube.com/watch?v=j7NVOIMoqjo,unknown,0:00,0:00:07,RU,ViralBear,https://www.youtube.com/channel/UCoVCE-9Lqkwv0mq9iwtStqw
GPlzk1kpihk,Pedestrians in Istanbul ðŸ‡¹ðŸ‡· #walkthrough #travel #adventure #automobile #car #downtown #shorts,Istanbul,GPlzk1kpihk,https://www.youtube.com/watch?v=GPlzk1kpihk,unknown,0:00,0:00:16,TR,Mahmut DemirtaÅŸ,https://www.youtube.com/channel/UChV7oEng_nHq74u5tKu06UQ
KdnSP0-mHRo,Beautiful Istanbul Tram Rides ðŸ‡¹ðŸ‡· | Stunning Street Views &amp; Urban Journey,Istanbul,KdnSP0-mHRo,https://www.youtube.com/watch?v=KdnSP0-mHRo,unknown,0:00,0:02:13,TR,theWANDERER,https://www.youtube.com/channel/UCgUkPn0VeYUYULubuiXACEA
V6jYzC3bHU0,How to Cross the Road in VietnamðŸš¶ (@two_peas_abroad),Bangkok,V6jYzC3bHU0,https://www.youtube.com/watch?v=V6jYzC3bHU0,unknown,0:00,0:00:18,TH,FitFix ,https://www.youtube.com/channel/UC3NJVkGUkPwvWwWpQG-67Ag
nU74flrEhsQ,Only in Thailand they have a strange way of crossing the crosswalk ðŸ˜…ðŸ‡¹ðŸ‡­ #shorts #bangkok #funny,Bangkok,nU74flrEhsQ,https://www.youtube.com/watch?v=nU74flrEhsQ,unknown,0:00,0:00:14,TH,Sandro,https://www.youtube.com/channel/UCH6Fvjlw-d9n7vZ7fWkG7YQ
z8nNJSj1J10,This is how you cross the street here in Jakarta Indonesia #travel,Jakarta,z8nNJSj1J10,https://www.youtube.com/watch?v=z8nNJSj1J10,unknown,0:00,0:00:29,ID,Ramses_And_Crew,https://www.youtube.com/channel/UCTFFV33ZiV-4rk1GAzXVZrw
3F7Y5EDVNr8,"Hujan, Pulang, Nyebrang Halte Transjakarta Tosari #jakarta #zebracrossing #pedestrian #crosswalk",Jakarta,3F7Y5EDVNr8,https://www.youtube.com/watch?v=3F7Y5EDVNr8,unknown,0:00,0:00:07,ID,safarah,https://www.youtube.com/channel/UCNvNLwCfYuxeln-SgvGFGnA
p8-m4r06E_A,Philippine crosswalk SM MALL IS CRAZY!,Manila,p8-m4r06E_A,https://www.youtube.com/watch?v=p8-m4r06E_A,unknown,0:00,0:00:10,PH,WalkingStreetTour,https://www.youtube.com/channel/UC7jA2TboQsaduPidrDvxmvw
V6jYzC3bHU0,How to Cross the Road in VietnamðŸš¶ (@two_peas_abroad),Manila,V6jYzC3bHU0,https://www.youtube.com/watch?v=V6jYzC3bHU0,unknown,0:00,0:00:18,PH,FitFix ,https://www.youtube.com/channel/UC3NJVkGUkPwvWwWpQG-67Ag
Kpk-u_swx30,Lagos State Advocates Adherence To Road Signage,Lagos,Kpk-u_swx30,https://www.youtube.com/watch?v=Kpk-u_swx30,unknown,0:00,0:12:06,NG,Channels Television,https://www.youtube.com/channel/UCEXGDNclvmg6RW0vipJYsTQ
1fViDrjlY9k,Concerns Over Lagos Pedestrian Bridges,Lagos,1fViDrjlY9k,https://www.youtube.com/watch?v=1fViDrjlY9k,unknown,0:00,0:04:48,NG,News Central TV,https://www.youtube.com/channel/UCPLKy4Ypb4mfblbjJI8Aljw
H_GsRc5PYZM,#egypt #travel #traffic how to cross the street in Egypt,Cairo,H_GsRc5PYZM,https://www.youtube.com/watch?v=H_GsRc5PYZM,unknown,0:00,0:00:20,EG,Jose Ole ,https://www.youtube.com/channel/UCQHwyo3Jy50dmYkJourwupQ
js2sy0NKOvk,Crossing the Road in Cairo to a FELUCCA #egyptadventures,Cairo,js2sy0NKOvk,https://www.youtube.com/watch?v=js2sy0NKOvk,unknown,0:00,0:01:18,EG,The Wanderlust Kids,https://www.youtube.com/channel/UCO450Y-peQ_R-e5mkrG5I_Q
V6jYzC3bHU0,How to Cross the Road in VietnamðŸš¶ (@two_peas_abroad),Mumbai,V6jYzC3bHU0,https://www.youtube.com/watch?v=V6jYzC3bHU0,unknown,0:00,0:00:18,IN,FitFix ,https://www.youtube.com/channel/UC3NJVkGUkPwvWwWpQG-67Ag
mzTNdFUcCr8,"Crossing the streets in Mumbai, India. Just send it #india #mumbai #tuktuk",Mumbai,mzTNdFUcCr8,https://www.youtube.com/watch?v=mzTNdFUcCr8,unknown,0:00,0:00:19,IN,Trozzi Fishing ,https://www.youtube.com/channel/UCXDiJYITVvQWGgdR5vKgXcg
bHZnHP82KJs,Trying to Cross the Street in SÃ£o Paulo vs NYC â€” A Culture Shock You Didnâ€™t Expect #funnyshorts,SÃ£o Paulo,bHZnHP82KJs,https://www.youtube.com/watch?v=bHZnHP82KJs,unknown,0:00,0:01:25,BR,Almost True,https://www.youtube.com/channel/UCcXgV3dInEXGa4ORwp9PWtA
-c6NZDqBTs4,Trying to Cross the Street in SÃ£o Paulo vs NYC â€” A Culture Shock You Didnâ€™t Expect #funnyshorts,SÃ£o Paulo,-c6NZDqBTs4,https://www.youtube.com/watch?v=-c6NZDqBTs4,unknown,0:00,0:03:31,BR,Almost True,https://www.youtube.com/channel/UCcXgV3dInEXGa4ORwp9PWtA
NWALMKo1i0A,Gringa canâ€™t figure out how to cross the street in Mexico City. #travel #humour,Mexico City,NWALMKo1i0A,https://www.youtube.com/watch?v=NWALMKo1i0A,unknown,0:00,0:00:51,MX,She Saves - He Invests - They Travel,https://www.youtube.com/channel/UCPQgtluZ6xHR7Cm9hWVJpZQ
HgFQpAjPRaU,Protecting Pedestrians on a Busy Road Near Central Bus Terminal - Oaxaca | Bloomberg Philanthropies,Mexico City,HgFQpAjPRaU,https://www.youtube.com/watch?v=HgFQpAjPRaU,unknown,0:00,0:02:52,MX,Bloomberg Philanthropies,https://www.youtube.com/channel/UCTBGx5nppO4o_fOy7hqgyMg
